accession	nid	size	phylum	genus	species	strain	trophic	pathogenic
AF342858	AF342858.1 GI:13447	213	Fusobacteria	Fusobacterium	prausnitzii	ATCC27768	h	u
AF059322	g4106111	301	Firmicutes	Ureaplasma	urealyticum	ATCC27813	h	p
AF059326	g4106115	302	Firmicutes	Ureaplasma	urealyticum	ATCC27814	h	p
AF059323	g4106112	301	Firmicutes	Ureaplasma	urealyticum	ATCC27815	h	p
AF059328	g4106117	310	Firmicutes	Ureaplasma	urealyticum	ATCC27816	h	p
AF059327	g4106116	310	Firmicutes	Ureaplasma	urealyticum	ATCC27817	h	p
AF059324	g4106113	301	Firmicutes	Ureaplasma	urealyticum	ATCC27818	h	p
AF059329	g4106118	310	Firmicutes	Ureaplasma	urealyticum	ATCC27819	h	p
AF342844	AF342844.1 GI:13447	141	Fusobacteria	Fusobacterium	necrophorum	ATCC27852	h	u
U09790	g1302619	490	Actinobacteria	Bifidobacterium	cuniculi	ATCC27916	h	u
AF329201	AF329201.1 GI:13272	231	Proteobacteria	Zymomonas	mobilis	ATCC29191	h	u
AF329202	AF329202.1 GI:13272	231	Proteobacteria	Zymomonas	mobilis	ATCC29192	h	u
AF342857	AF342857.1 GI:13447	138	Fusobacteria	Fusobacterium	perfoetens	ATCC29250	h	u
AF132741	g6066196	253	Firmicutes	Mycoplasma	pneumoniae	ATCC29342	h	p
U07778	g466263	385	Proteobacteria	Haemophilus	actinomycetemcomitans	ATCC29522	h	p
U07776	g466261	252	Proteobacteria	Haemophilus	actinomycetemcomitans	ATCC29523	h	p
AJ274376	AJ274376.1 GI:64256	350	Proteobacteria	Photobacterium	damselae	ATCC29690	h	u
D87087	g1622719	496	Proteobacteria	Pseudomonas	corrugata	ATCC29736	h	u
AJ278724	AJ278724.1 GI:12044	454	Proteobacteria	Acidithiobacillus	ferrooxidans	ATCC33020	h	n
AF413022	AF413022.1 GI:16152	394	Proteobacteria	Vibrio	splendidus	ATCC33125	h	p
AF413023	AF413023.1 GI:16152	278	Proteobacteria	Vibrio	splendidus	ATCC33125	h	p
AF413024	AF413024.1 GI:16152	448	Proteobacteria	Vibrio	splendidus	ATCC33125	h	p
AF413021	AF413021.1 GI:16152	394	Proteobacteria	Vibrio	splendidus	ATCC33125	h	p
AF000655	g2130662	306	Proteobacteria	Legionella	pneumophila	ATCC33152	h	p
AF000656	g2130663	278	Proteobacteria	Legionella	pneumophila	ATCC33156	h	p
AF059331	g4106120	302	Firmicutes	Ureaplasma	urealyticum	ATCC33175	h	p
AF093461	AF093461.1 GI:44570	534	Actinobacteria	Renibacterium	salmoninarum	ATCC33209	h	n
AB026201	AB026201.1 GI:66836	306	Actinobacteria	Streptomyces	scabies	ATCC33282	h	u
AF033080	AF033080.1 GI:26890	425	Proteobacteria	Actinobacillus	pleuropneumoniae	ATCC33377	h	p
AF033079	AF033079.1 GI:26890	425	Proteobacteria	Actinobacillus	pleuropneumoniae	ATCC33378	h	p
AF033064	AF033064.1 GI:26889	513	Proteobacteria	Actinobacillus	pleuropneumoniae	ATCC33378	h	p
U07777	g466262	253	Proteobacteria	Haemophilus	actinomycetemcomitans	ATCC33384	h	p
AF033074	AF033074.1 GI:26890	506	Proteobacteria	Actinobacillus	suis	ATCC33415T	h	p
AF033094	g2689026	399	Proteobacteria	Actinobacillus	suis	ATCC33415T	h	p
AF413003	AF413003.1 GI:16152	461	Proteobacteria	Vibrio	diazotrophicus	ATCC33466	h	n
AF413004	AF413004.1 GI:16152	564	Proteobacteria	Vibrio	diazotrophicus	ATCC33466	h	n
AF412998	AF412998.1 GI:16152	456	Proteobacteria	Salinivibrio	costicola	ATCC33508	h	u
AF412999	AF412999.1 GI:16152	559	Proteobacteria	Salinivibrio	costicola	ATCC33508	h	u
AF413001	AF413001.1 GI:16152	315	Proteobacteria	Salinivibrio	costicola	ATCC33508	h	u
AF413000	AF413000.1 GI:16152	539	Proteobacteria	Salinivibrio	costicola	ATCC33508	h	u
AF413002	AF413002.1 GI:16152	351	Proteobacteria	Salinivibrio	costicola	ATCC33508	h	u
AJ274377	AJ274377.1 GI:63182	296	Proteobacteria	Photobacterium	damselae	ATCC33539	h	u
L43095	g871785	314	Actinobacteria	Clavibacter	michiganensis	ATCC33566	h	u
AF342838	AF342838.1 GI:13447	134	Fusobacteria	Fusobacterium	simiae	ATCC33568	h	u
AF033081	AF033081.1 GI:26890	425	Proteobacteria	Actinobacillus	pleuropneumoniae	ATCC33590	h	p
AF127578	AF127578.1 GI:13270	513	Proteobacteria	Pseudomonas	tolaasii	ATCC33618	h	u
AF342839	AF342839.1 GI:13447	199	Fusobacteria	Fusobacterium	periodonticum	ATCC33693	h	u
AF059333	g4106122	310	Firmicutes	Ureaplasma	urealyticum	ATCC33695	h	p
AF059334	g4106123	310	Firmicutes	Ureaplasma	urealyticum	ATCC33696	h	p
AF059325	g4106114	301	Firmicutes	Ureaplasma	urealyticum	ATCC33697	h	p
AF059335	g4106124	310	Firmicutes	Ureaplasma	urealyticum	ATCC33698	h	p
AF059332	g4106121	310	Firmicutes	Ureaplasma	urealyticum	ATCC33699	h	p
AF000654	g2130661	269	Proteobacteria	Legionella	pneumophila	ATCC33735	h	p
AF413005	AF413005.1 GI:16152	482	Proteobacteria	Vibrio	fluvialis	ATCC33809	h	p
AF413007	AF413007.1 GI:16152	710	Proteobacteria	Vibrio	fluvialis	ATCC33809	h	p
AF413008	AF413008.1 GI:16152	557	Proteobacteria	Vibrio	fluvialis	ATCC33809	h	p
U11778	g644549	362	Firmicutes	Staphylococcus	aureus	ATCC33952	h	p
U11779	g644550	457	Firmicutes	Staphylococcus	aureus	ATCC33952	h	p
U11780	g644551	336	Firmicutes	Staphylococcus	aureus	ATCC33952	h	p
U11781	g644552	476	Firmicutes	Staphylococcus	aureus	ATCC33952	h	p
U11782	g644553	460	Firmicutes	Staphylococcus	aureus	ATCC33952	h	p
U11784	g644555	551	Firmicutes	Staphylococcus	aureus	ATCC33952	h	p
U11785	g644556	318	Firmicutes	Staphylococcus	aureus	ATCC33952	h	p
U11786	g644557	473	Firmicutes	Staphylococcus	aureus	ATCC33952	h	p
U11787	g644558	335	Firmicutes	Staphylococcus	aureus	ATCC33952	h	p
AF412991	AF412991.1 GI:16152	565	Proteobacteria	Vibrio	aestuarianus	ATCC35048	h	n
AF412992	AF412992.1 GI:16152	564	Proteobacteria	Vibrio	aestuarianus	ATCC35048	h	n
AF412993	AF412993.1 GI:16152	466	Proteobacteria	Vibrio	aestuarianus	ATCC35048	h	n
AF412994	AF412994.1 GI:16152	439	Proteobacteria	Vibrio	aestuarianus	ATCC35048	h	n
AF412995	AF412995.1 GI:16152	751	Proteobacteria	Vibrio	aestuarianus	ATCC35048	h	n
AF489606	AF489606.1 GI:19550	704	Firmicutes	Streptococcus	porcinus	ATCC35647	h	p
AF489607	AF489607.1 GI:19550	421	Firmicutes	Streptococcus	porcinus	ATCC35649	h	p
L26328	g496112	275	Actinobacteria	Mycobacterium	bovis	ATCC35741	h	p
AJ314875	AJ314875.1 GI:14456	296	Actinobacteria	Mycobacterium	chelonae	ATCC35749	h	p
AF017504	g2738851	429	Actinobacteria	Nocardioides	sp	ATCC39419	h	u
AF017505	g2738852	439	Actinobacteria	Nocardioides	sp	ATCC39419	h	u
AF466818	AF466818.1 GI:18496	740	Bacteroidetes/Chlorobi	Tannerella	forsythensis	ATCC43037	h	u
AF116559	AF116559.1 GI:59015	166	Actinobacteria	Thermomonospora	chromogena	ATCC43196	h	n
AF116560	AF116560.1 GI:59015	802	Actinobacteria	Thermomonospora	chromogena	ATCC43196	h	n
AF116561	AF116561.1 GI:59015	700	Actinobacteria	Thermomonospora	chromogena	ATCC43196	h	n
AF116562	AF116562.1 GI:59015	700	Actinobacteria	Thermomonospora	chromogena	ATCC43196	h	n
AF116563	AF116563.1 GI:59015	700	Actinobacteria	Thermomonospora	chromogena	ATCC43196	h	n
AB019248	g3821803	361	Firmicutes	Erysipelothrix	tonsillarum	ATCC43339	h	u
Z29326	Z29326.1 GI:440400	805	Proteobacteria	Campylobacter	jejuni	ATCC43431	h	p
AF413019	AF413019.1 GI:16152	334	Proteobacteria	Vibrio	salmonicida	ATCC43839	h	p
AF413020	AF413020.1 GI:16152	824	Proteobacteria	Vibrio	salmonicida	ATCC43839	h	p
AJ314876	AJ314876.1 GI:14456	427	Actinobacteria	Mycobacterium	gilvum	ATCC43909	h	p
AB026220	AB026220.1 GI:66836	279	Actinobacteria	Streptomyces	scabies	ATCC49003	h	u
AB026199	AB026199.1 GI:66836	307	Actinobacteria	Streptomyces	scabies	ATCC49173	h	u
AJ245996	AJ245996.1 GI:66893	187	Firmicutes	Spiroplasma	sp	ATCC49173	h	u
AF033071	AF033071.1 GI:26890	554	Proteobacteria	Actinobacillus	lignieresii	ATCC49236T	h	u
AF033092	g2689024	439	Proteobacteria	Actinobacillus	lignieresii	ATCC49236T	h	u
AF342834	AF342834.1 GI:13447	123	Fusobacteria	Fusobacterium	nucleatum	ATCC49256	h	u
AB031219	AB031219.1 GI:57622	638	Bacteroidetes/Chlorobi	Flavobacterium	columnare	ATCC49513	h	u
AF342831	AF342831.1 GI:13447	125	Fusobacteria	Fusobacterium	nucleatum	ATCC51190	h	u
AF342835	AF342835.1 GI:13447	133	Fusobacteria	Fusobacterium	nucleatum	ATCC51191	h	u
AF342845	AF342845.1 GI:13447	141	Fusobacteria	Fusobacterium	necrophorum	ATCC51357	h	u
U07955	g469550	382	Actinobacteria	Mycobacterium	smegmatis	ATCC607	h	p
L37577	g845220	144	Firmicutes	Bacillus	mycoides	ATCC6462	h	p
AB026221	AB026221.1 GI:66836	314	Actinobacteria	Streptomyces	scabies	ATCC700248	h	u
AF342853	AF342853.1 GI:13447	170	Fusobacteria	Fusobacterium	varium	ATCC8501	h	u
AF342854	AF342854.1 GI:13447	170	Fusobacteria	Fusobacterium	varium	ATCC8501	h	u
U59267	g1518650	441	Actinobacteria	Brevibacterium	linens	ATCC9172	h	u
U59268	g1518651	408	Actinobacteria	Brevibacterium	linens	ATCC9175	h	u
AJ315572	AJ315572.1 GI:14422	273	Actinobacteria	Mycobacterium	marinum	ATCC927	h	p
S51968	g262623	271	Firmicutes	Clostridium	difficile	ATCC9689	h	p
AF342850	AF342850.1 GI:13447	170	Fusobacteria	Fusobacterium	mortiferum	ATCC9817	h	u
U68453	g1943893	223	Chlamydiae	Chlamydia	psittaci	ATCCVR122	h	p
U36945	g1244531	310	Proteobacteria	Piscirickettsia	salmonis	ATL-4-91	h	p
AJ299219	AJ299219.1 GI:12666	228	Euryarchaeota	Archaeoglobus	profundus	AV18	h	u
AF367165	AF367165.1 GI:14044	354	Cyanobacteria	Nodularia	sp	AV3	a	u
AF367173	AF367173.1 GI:14044	354	Cyanobacteria	Nodularia	spumigena	AV63	a	u
AJ274636	AJ274636.1 GI:64536	254	Firmicutes	Phytoplasma	sugarcane	AY	h	p
AJ274637	AJ274637.1 GI:64536	252	Firmicutes	Phytoplasma	sugarcane	AY	h	p
AJ274638	AJ274638.1 GI:64536	252	Firmicutes	Phytoplasma	sugarcane	AY	h	p
AF322644	AF322644.1 GI:17225	247	Firmicutes	Phytoplasma	yellows	AY1	h	p
AF322645	AF322645.1 GI:17225	247	Firmicutes	Phytoplasma	yellows	AY1	h	p
U68440	g1943908	243	Chlamydiae	Chlamydia	trachomatis	B/TW-5/OT	h	p
AF151308	AF151308.1 GI:71088	141	Crenarchaeota	uncultured marine	bacterium	B-015-1	h	n
AF151309	AF151309.1 GI:71088	141	Crenarchaeota	uncultured marine	bacterium	B-015-2	h	n
AF151310	AF151310.1 GI:71088	136	Crenarchaeota	uncultured marine	bacterium	B-015-3	h	n
U00014	U00014.1 GI:466903	260	Actinobacteria	Mycobacterium	leprae	B1549	h	p
U68445	g2213647	222	Chlamydiae	Chlamydia	psittaci	B577	h	p
AJ005553	g3063903	685	Proteobacteria	Nitrosospira	sp	B6	h	u
L35102	g984026	1258	Proteobacteria	Bartonella	vinsonii	Baker	h	u
AB015377	g3551446	359	Cyanobacteria	Microcystis	novacekii	BC18	a	u
M20940	g150001	276	Actinobacteria	Mycobacterium	bovis	BCG	h	p
AF330246	AF330246.1 GI:18033	1031	Cyanobacteria	Synechococcus	sp	BGS171	a	n
Y14645	Y14645.1 GI:2370395	255	Firmicutes	Phytoplasma	sp	BGWL	h	p
Y15859	g2689253	241	Firmicutes	Phytoplasma	sp	BGWL	h	p
U62440	g1556476	443	Actinobacteria	Brevibacterium	linens	BL102	h	u
U62441	g1556477	436	Actinobacteria	Brevibacterium	linens	BL104	h	u
AJ420059	AJ420059.1 GI:18496	375	Firmicutes	Bacillus	thuringiensis	BMG1.7	h	p
AF317071	AF317071.1 GI:16588	975	Cyanobacteria	Synechococcus	sp	BO8801	a	n
AF317073	AF317073.1 GI:16588	850	Cyanobacteria	Synechococcus	sp	BO8805	a	n
AF317072	AF317072.1 GI:16588	1019	Cyanobacteria	Synechococcus	sp	BO8806	a	n
AF317074	AF317074.1 GI:16588	909	Cyanobacteria	Synechococcus	sp	BO8807	a	n
AF317075	AF317075.1 GI:16588	912	Cyanobacteria	Synechococcus	sp	BO9404	a	n
AF317077	AF317077.1 GI:16588	1016	Cyanobacteria	Synechococcus	sp	BO981502	a	n
AF317078	AF317078.1 GI:16588	1017	Cyanobacteria	Synechococcus	sp	BO983115	a	n
AF317079	AF317079.1 GI:16588	980	Cyanobacteria	Synechococcus	sp	BO984127	a	n
Y15863	g3077641	280	Firmicutes	Phytoplasma	sp	BoLL	h	p
U68432	g1943879	225	Chlamydiae	Chlamydia	pecorum	BP1	h	p
AF330254	AF330254.1 GI:18033	1014	Cyanobacteria	Synechococcus	sp	BS20	a	n
AF330252	AF330252.1 GI:18033	884	Cyanobacteria	Synechococcus	sp	BS4	a	n
AF330253	AF330253.1 GI:18033	884	Cyanobacteria	Synechococcus	sp	BS5	a	n
AJ420058	AJ420058.1 GI:18496	369	Firmicutes	Bacillus	thuringiensis	Bt14	h	p
AF324181	AF324181.1 GI:15077	823	Proteobacteria	Bradyrhizobium	sp	BTA1	h	n
AF466819	AF466819.1 GI:18496	588	Bacteroidetes/Chlorobi	Bacteroides	forsythus	BU063	h	u
AF367174	AF367174.1 GI:14044	354	Cyanobacteria	Nodularia	spumigena	BY1	a	u
AF093462	AF093462.1 GI:44570	534	Actinobacteria	Renibacterium	salmoninarum	BY1996	h	n
AF397705	AF397705.1 GI:18463	732	Cyanobacteria	Synechococcus	sp	C20	a	n
AF312498	AF312498.1 GI:15277	1478	Proteobacteria	Bartonella	clarridgeiae	C23	h	u
AF312499	AF312499.1 GI:15277	1499	Proteobacteria	Bartonella	clarridgeiae	C44	h	u
AF312500	AF312500.1 GI:15277	1144	Proteobacteria	Bartonella	clarridgeiae	C48	h	u
AF312501	AF312501.1 GI:15277	1558	Proteobacteria	Bartonella	clarridgeiae	C49	h	u
AJ315575	AJ315575.1 GI:14422	271	Actinobacteria	Mycobacterium	gordonae	C55	h	p
AJ314885	VERSION AJ314885	281	Actinobacteria	Mycobacterium	scrofulaceum	C58	h	p
AJ314887	AJ314887.1 GI:14456	274	Actinobacteria	Mycobacterium	kansasii	C59	h	p
AJ314888	AJ314888.1 GI:14456	274	Actinobacteria	Mycobacterium	kansasii	C60	h	p
AJ314889	AJ314889.1 GI:14456	274	Actinobacteria	Mycobacterium	kansasii	C61	h	p
AJ314890	AJ314890.1 GI:14456	274	Actinobacteria	Mycobacterium	kansasii	C63	h	p
AJ314891	AJ314891.1 GI:14456	274	Actinobacteria	Mycobacterium	kansasii	C65	h	p
AJ314892	AJ314892.1 GI:14456	274	Actinobacteria	Mycobacterium	kansasii	C66	h	p
AJ314893	AJ314893.1 GI:14456	274	Actinobacteria	Mycobacterium	kansasii	C67	h	p
AJ314894	AJ314894.1 GI:14456	274	Actinobacteria	Mycobacterium	kansasii	C68	h	p
AJ314895	AJ314895.1 GI:14456	274	Actinobacteria	Mycobacterium	kansasii	C69	h	p
AJ307713	AJ307713.1 GI:14349	275	Actinobacteria	Mycobacterium	tuberculosis	C72	h	p
AJ315568	AJ315568.1 GI:14422	275	Actinobacteria	Mycobacterium	tuberculosis	C73	h	p
AF312502	AF312502.1 GI:15277	1203	Proteobacteria	Bartonella	clarridgeiae	C78	h	u
AJ314871	AJ314871.1 GI:14456	299	Actinobacteria	Mycobacterium	abscessus	C93327	h	p
AJ314872	AJ314872.1 GI:14456	299	Actinobacteria	Mycobacterium	abscessus	C93328	h	p
AB031584	AB031584.1 GI:58214	375	Firmicutes	Mycoplasma	capricolum	Cailfornia Kid	h	p
AF369527	AF369527.1 GI:15290	1262	Proteobacteria	Bartonella	henselae	CAL-1	h	p
L00194	g144276	653	Proteobacteria	Caulobacter	crescentus	CB13	h	u
AF495882	AF495882.1 GI:20257	199	Firmicutes	Phytoplasma	yellows	CbY1	h	p
AB015383	g3551452	363	Cyanobacteria	Microcystis	aeruginosa	CC!	a	u
AB015378	g3551447	359	Cyanobacteria	Microcystis	novacekii	CC2	a	u
AF284450	AF284450.1 GI:14582	1162	Proteobacteria	Sinorhizobium	xinjiangense	CCBAU 110	h	u
AF033083	AF033083.1 GI:26890	407	Proteobacteria	Actinobacillus	pleuropneumoniae	CCM3803	h	p
AF033066	AF033066.1 GI:26889	513	Proteobacteria	Actinobacillus	pleuropneumoniae	CCM3803	h	p
AF033084	AF033084.1 GI:26890	424	Proteobacteria	Actinobacillus	pleuropneumoniae	CCM6279	h	p
AF033067	AF033067.1 GI:26889	531	Proteobacteria	Actinobacillus	pleuropneumoniae	CCM6279	h	p
AF033068	AF033068.1 GI:26890	531	Proteobacteria	Actinobacillus	pleuropneumoniae	CCM6311	h	p
AF397701	AF397701.1 GI:18463	665	Cyanobacteria	Prochlorococcus	marinus	CCMP1375	a	n
AF397673	AF397673.1 GI:18462	547	Cyanobacteria	Prochlorococcus	marinus	CCMP1378	a	n
AF091800	g3955335	212	Proteobacteria	Rhizobium	tropici	CCT 4160T	h	n
AF091801	g3834600	736	Proteobacteria	Rhizobium	tropici	CCT 4160T	h	n
AF091798	g3955332	130	Proteobacteria	Rhizobium	tropici	CCT 4164	h	n
AF091788	g3955318	784	Proteobacteria	Rhizobium	leguminosarum	CCT 4168T	h	n
AF091789	g3834588	743	Proteobacteria	Rhizobium	leguminosarum	CCT 4168T	h	n
AF091790	g3955320	749	Proteobacteria	Rhizobium	leguminosarum	CCT 4179	h	n
AF091791	g3834590	723	Proteobacteria	Rhizobium	leguminosarum	CCT 4179	h	n
AF091794	AF091794.1 GI:39553	741	Proteobacteria	Agrobacterium	rhizogenes	CCT 4832T	h	p
AF091795	g3834594	716	Proteobacteria	Agrobacterium	rhizogenes	CCT 4832T	h	p
AF091796	AF091796.1 GI:39553	790	Proteobacteria	Agrobacterium	rhizogenes	CCT 4842	h	p
AF091797	g3834596	762	Proteobacteria	Agrobacterium	rhizogenes	CCT 4842	h	p
AF091792	g3955323	783	Proteobacteria	Rhizobium	leguminosarum	CCT 5087T	h	n
AF091793	g3834592	759	Proteobacteria	Rhizobium	leguminosarum	CCT 5087T	h	n
AF091799	g3834598	722	Proteobacteria	Rhizobium	tropici	CCT 4164	h	n
AJ251910	AJ251910.1 GI:98445	505	Proteobacteria	Pseudomonas	stutzeri	CCUG 11256-T	h	u
AF291173	AF291173.1 GI:99315	576	Euryarchaeota	uncultured	haloarchaeon	CDI-271	h	n
AF291174	AF291174.1 GI:99315	450	Euryarchaeota	uncultured	haloarchaeon	CDII-272	h	n
AF291175	AF291175.1 GI:99315	503	Euryarchaeota	uncultured	haloarchaeon	CDIII-273	h	n
AJ279241	AJ279241.1 GI:98446	324	Proteobacteria	Pseudomonas	fragi	CECT 446	h	u
AB026206	AB026206.1 GI:66836	306	Actinobacteria	Streptomyces	scabies	CEK-037	h	u
AJ420071	AJ420071.1 GI:18496	144	Firmicutes	Bacillus	anthracis	Cepanzo	h	p
AB066098	AB066098.1 GI:14717	720	Proteobacteria	Campylobacter	lari	CF89-12	h	p
D89504	g1752790	211	Firmicutes	Mycoplasma	buccale	CH20247	h	p
AF237650	AF237650.1 GI:73302	513	Proteobacteria	Xylella	fastidiosa	CI11067	h	p
AF203393	AF203393.1 GI:65732	512	Proteobacteria	Xylella	fastidiosa	CI52	h	p
AF203394	AF203394.1 GI:65732	511	Proteobacteria	Xylella	fastidiosa	CI52	h	p
AF203395	AF203395.1 GI:65732	512	Proteobacteria	Xylella	fastidiosa	CI52	h	p
AF203396	AF203396.1 GI:65732	523	Proteobacteria	Xylella	fastidiosa	CI52	h	p
AF203397	AF203397.1 GI:65732	512	Proteobacteria	Xylella	fastidiosa	CI52	h	p
AF271645	AF271645.1 GI:15080	1072	Proteobacteria	Rhizobium	tropici	CIAT 899	h	n
L36968	g558497	552	Actinobacteria	Bifidobacterium	choerinum	CIP103378	h	u
Y11738	g3127909	347	Proteobacteria	Haemophilus	ducreyi	CIP542	h	p
U09517	g799157	499	Actinobacteria	Bifidobacterium	bifidum	CIP567	h	u
U09527	g799167	443	Actinobacteria	Bifidobacterium	infantis	CIP6378	h	u
U09512	g799152	487	Actinobacteria	Bifidobacterium	adolescentis	CIP6459	h	u
U09513	g799153	496	Actinobacteria	Bifidobacterium	adolescentis	CIP6460	h	u
U09514	g799154	487	Actinobacteria	Bifidobacterium	adolescentis	CIP6461	h	u
U09519	g799159	489	Actinobacteria	Bifidobacterium	breve	CIP6468	h	u
U09520	g799160	489	Actinobacteria	Bifidobacterium	breve	CIP6469	h	u
U09521	g799161	496	Actinobacteria	Bifidobacterium	breve	CIP6470	h	u
AF237651	AF237651.1 GI:73302	513	Proteobacteria	Xylella	fastidiosa	CIX0	h	p
AF291416	AF291416.1 GI:15077	280	Firmicutes	Streptococcus	agalactiae	CJB111	h	p
AB015381	g3551450	359	Cyanobacteria	Microcystis	aeruginosa	CL1	a	u
AB015382	g3551451	359	Cyanobacteria	Microcystis	aeruginosa	CL3	a	u
AB015392	g3551461	358	Cyanobacteria	Microcystis	wesenbergii	CL5	a	u
AF291172	AF291172.1 GI:99315	570	Euryarchaeota	uncultured	haloarchaeon	CLI-248	h	n
AF291176	AF291176.1 GI:99315	549	Euryarchaeota	uncultured	haloarchaeon	CLI-250	h	n
AF291177	AF291177.1 GI:99315	548	Euryarchaeota	uncultured	haloarchaeon	CLI257	h	n
U09492	U09492.1 GI:606646	1298	Diplomonadida	Giardia	intestinalis	CM	h	u
U09379	g794220	438	Actinobacteria	Clavibacter	michiganensis	CM 8	h	u
U68421	g1943872	222	Chlamydiae	Chlamydia	pneumoniae	CM1	h	p
AJ422179	AJ422179.1 GI:19571	950	Proteobacteria	Bartonella	bacilliformis	CON600-01	h	p
AF073225	g4587915	509	Proteobacteria	Xylella	fastidiosa	Conn Creek	h	p
AF073250	g4587940	510	Proteobacteria	Xylella	fastidiosa	ContraCoasta	h	p
U68448	g1943888	223	Chlamydiae	Chlamydia	psittaci	CP3	h	p
M69264	g144703	185	Firmicutes	Clostridium	perfringens	CPN50	h	p
U68449	g1943889	224	Chlamydiae	Chlamydia	psittaci	CT1	h	p
U09831	g799169	491	Actinobacteria	Bifidobacterium	bifidum	CTP6465	h	u
AJ422180	AJ422180.1 GI:19571	978	Proteobacteria	Bartonella	bacilliformis	Cusco407	h	p
AF312492	AF312492.1 GI:15277	967	Proteobacteria	Bartonella	bacilliformis	Cuzco14	h	p
AF312491	AF312491.1 GI:15277	951	Proteobacteria	Bartonella	bacilliformis	Cuzco8	h	p
Y14646	Y14646.1 GI:2370396	232	Firmicutes	Phytoplasma	sp	CWB	h	p
U68422	g1943873	223	Chlamydiae	Chlamydia	pneumoniae	CWL029	h	p
AE001668	AE001668.1 GI:43771	299	Chlamydiae	Chlamydophila	pneumoniae	CWL029	h	u
U68423	g1943874	223	Chlamydiae	Chlamydia	pneumoniae	CWL1011	h	p
Y15868	g2707934	245	Firmicutes	Phytoplasma	sp	CWL-A	h	p
AF036901	g4104593	377	Actinobacteria	Frankia	sp	CWVEL	h	u
U68441	g1943909	243	Chlamydiae	Chlamydia	trachomatis	D/UW-3/CX	h	p
AJ278723	AJ278723.1 GI:12044	452	Proteobacteria	Acidithiobacillus	ferrooxidans	D2	h	n
AF127587	AF127587.1 GI:13270	496	Proteobacteria	Pseudomonas	fluorescens	D20	h	n
U11773	g644544	335	Firmicutes	Staphylococcus	aureus	D46	h	p
D63688	g944982	308	Firmicutes	Ureaplasma	gallorale	D6-1	h	p
D63684	g944983	305	Firmicutes	Ureaplasma	canigenitalium	D6P-C	h	p
AJ420051	AJ420051.1 GI:18496	371	Firmicutes	Bacillus	anthracis	Davis TE702	h	p
AJ420069	AJ420069.1 GI:18496	286	Firmicutes	Bacillus	anthracis	Davis TE702	h	p
AB050658	AB050658.1 GI:13928	173	Firmicutes	Bacillus	subtilis	DB9011	h	n
AJ315567	AJ315567.1 GI:14422	275	Actinobacteria	Mycobacterium	bovis	Denken	h	p
AJ274375	AJ274375.1 GI:64256	331	Proteobacteria	Photobacterium	damselae	DI21	h	u
AF073251	g4587941	510	Proteobacteria	Xylella	fastidiosa	Dixon	h	p
AB026214	AB026214.1 GI:66836	313	Actinobacteria	Streptomyces	scabies	DNK-G01	h	u
AJ251908	AJ251908.1 GI:98445	506	Proteobacteria	Pseudomonas	stutzeri	DNSP21	h	u
AF073237	g4587927	509	Proteobacteria	Xylella	fastidiosa	Douglas	h	p
AF093473	AF093473.1 GI:44571	534	Actinobacteria	Renibacterium	salmoninarum	DR143	h	n
AJ012705	AJ012705.1 GI:72091	1005	Proteobacteria	Ruegeria	algicola	DSM 10251	h	u
AF071850	g3319302	192	Firmicutes	Bacillus	sporothermodurans	DSM 10599 T	h	u
AF071852	g3319304	356	Firmicutes	Bacillus	sporothermodurans	DSM 10599 T	h	u
U59265	g1518648	404	Actinobacteria	Brevibacterium	linens	DSM 20158	h	u
Z84592	Z84592.1 GI:3929662	144	Firmicutes	Bacillus	cereus	DSM 2048 T	h	n
AF145717	AF145717.1 GI:67395	185	Firmicutes	Planococcus	citreus	DSM 20549	h	u
AB035486	AB035486.1 GI:65523	644	Firmicutes	Lactobacillus	jensenii	DSM 20557	h	n
AF145718	AF145718.1 GI:67395	196	Firmicutes	Planococcus	kocurii	DSM 20747	h	u
METJAN001	METJAN001	338	Euryarchaeota	Methanococcus	jannaschii	DSM 2661	h	u
METJAN002	METJAN002	347	Euryarchaeota	Methanococcus	jannaschii	DSM 2661	h	u
AJ237904	AJ237904.1 GI:64917	542	Nitrospirae	Leptospirillum	ferrooxidans	DSM 2705	a	u
AF271643	AF271643.1 GI:15080	819	Proteobacteria	Bradyrhizobium	japonicum	DSM 30131	h	n
AJ007831	g3319864	724	Proteobacteria	Acetobacter	aceti	DSM 3508	h	u
AF363488	AF363488.1 GI:14582	295	Actinobacteria	Streptomyces	eurythermus	DSM 40014	h	u
AF363489	AF363489.1 GI:14582	285	Actinobacteria	Streptomyces	ambofaciens	DSM 40053	h	u
AF363490	AF363490.1 GI:14582	277	Actinobacteria	Streptomyces	tendae	DSM 40101	h	u
AF363491	AF363491.1 GI:14582	303	Actinobacteria	Streptomyces	coelicolor	DSM 40233	h	u
AF363492	AF363492.1 GI:14582	300	Actinobacteria	Streptomyces	griseus	DSM 40236	h	u
AF363493	AF363493.1 GI:14582	305	Actinobacteria	Streptomyces	bottropensis	DSM 40262	h	u
AF363494	AF363494.1 GI:14582	308	Actinobacteria	Streptomyces	sampsonii	DSM 40394	h	u
AF363495	AF363495.1 GI:14582	296	Actinobacteria	Streptomyces	setonii	DSM 40395	h	u
AF363496	AF363496.1 GI:14582	279	Actinobacteria	Streptomyces	lividans	DSM 40434	h	u
AF363497	AF363497.1 GI:14582	296	Actinobacteria	Streptomyces	diastatochromogenes	DSM 40449	h	u
